actress_name,total_votes,movie_count,actress_avg_rating,actress_rank
"Sangeetha Bhat",1010,1,9.6000,1
"Adriana Matoshi",3932,1,9.4000,2
"Fatmire Sahiti",3932,1,9.4000,3
